color,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,Rand
0,8.5,0.44,0.5,1.9,0.369,15,38,0.99634,3.01,1.1,9.4,5,0.2966355784
1,6,0.3,0.33,2.1,0.042,31,127,0.98964,3.32,0.42,12.5,6,0.9258924727
1,6.1,0.22,0.38,2.8,0.144,12,65,0.9908,2.95,0.64,11.4,6,0.0593252522
0,7.4,0.59,0.08,4.4,0.086,6,29,0.9974,3.38,0.5,9,4,0.4255785355
0,6.8,0.64,0,2.7,0.123,15,33,0.99538,3.44,0.63,11.3,6,0.0332435546
1,6.6,0.26,0.46,7.8,0.047,48,186,0.9958,3.2,0.54,9.1,5,0.0179411562
1,6.2,0.12,0.26,5.7,0.044,56,158,0.9951,3.52,0.37,10.5,6,0.5498103013
1,5.6,0.19,0.27,0.9,0.04,52,103,0.99026,3.5,0.39,11.2,5,0.0472664041
1,6.7,0.24,0.32,9,0.023,20,109,0.99262,3.34,0.35,12.6,6,0.6785677662
1,5.8,0.6,0,1.3,0.044,72,197,0.99202,3.56,0.43,10.9,5,0.6755781732
1,7.2,0.27,0.37,5.4,0.026,27,114,0.99174,3.13,0.84,12.7,5,0.9338106944
0,7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,5,0.7768057706
1,5.8,0.18,0.37,1.1,0.036,31,96,0.98942,3.16,0.48,12,6,0.9419309357
1,6.3,0.25,0.27,6.6,0.054,40,158,0.99378,3.2,0.48,10.3,5,0.310736614
1,7.3,0.21,0.29,1.6,0.034,29,118,0.9917,3.3,0.5,11,8,0.9126882544
1,6.5,0.22,0.25,17.1,0.05,44,138,1.0001,3.3,0.37,8.8,5,0.0550659103
1,7,0.12,0.29,10.3,0.039,41,98,0.99564,3.19,0.38,9.8,8,0.4337251296
1,8.1,0.27,0.33,1.3,0.045,26,100,0.99066,2.98,0.44,12.4,6,0.3056386146
1,6.8,0.64,0.08,9.7,0.062,26,142,0.9972,3.37,0.46,8.9,4,0.5739092792
0,8.1,0.67,0.55,1.8,0.117,32,141,0.9968,3.17,0.62,9.4,5,0.7710430163
1,6,0.17,0.3,7.3,0.039,39,104,0.99252,2.91,0.57,11,6,0.9362044707
1,6.3,0.31,0.34,2.2,0.045,20,77,0.9927,3.3,0.43,10.2,5,0.1552285773
0,7.7,0.935,0.43,2.2,0.114,22,114,0.997,3.25,0.73,9.2,5,0.1233777506
1,7.9,0.21,0.39,2,0.057,21,138,0.99176,3.05,0.52,10.9,5,0.7297838216
1,6.6,0.3,0.25,8,0.036,21,124,0.99362,3.06,0.38,10.8,6,0.331510938
0,13.2,0.46,0.52,2.2,0.071,12,35,1.0006,3.1,0.56,9,6,0.9305185822
0,7.1,0.75,0.01,2.2,0.059,11,18,0.99242,3.39,0.4,12.8,6,0.1924104481
1,5.9,0.29,0.28,3.2,0.035,16,117,0.98959,3.26,0.42,12.6,6,0.8173822118
1,6.7,0.25,0.26,13.5,0.06,50,156,0.99784,3.39,0.46,9.9,6,0.2041604954
0,6.2,0.36,0.24,2.2,0.095,19,42,0.9946,3.57,0.57,11.7,6,0.0772598786
1,6.1,0.37,0.46,12,0.042,61,210,0.997,3.17,0.59,9.7,6,0.9264073351
1,6.4,0.18,0.74,11.9,0.046,54,168,0.9978,3.58,0.68,10.1,5,0.042305304
0,9,0.6,0.29,2,0.069,32,73,0.99654,3.34,0.57,10,5,0.3438538082
1,8.2,0.26,0.49,5.2,0.04,19,100,0.9941,3.12,0.34,10.1,6,0.4381946088
1,7.8,0.24,0.32,12.2,0.054,42,138,0.9984,3.01,0.54,8.8,5,0.4130182343
1,7.1,0.29,0.3,16,0.036,58,201,0.99954,3.3,0.67,9,5,0.6678099111
1,6.3,0.26,0.49,1.5,0.052,34,134,0.9924,2.99,0.61,9.8,6,0.3513113516
1,7,0.24,0.3,6.7,0.039,37,125,0.99436,3.2,0.39,9.9,5,0.097879197
1,7.5,0.24,0.29,1.1,0.046,34,84,0.9902,3.04,0.39,11.45,6,0.3765770404
0,11,0.2,0.48,2,0.343,6,18,0.9979,3.3,0.71,10.5,5,0.976401092
0,11.9,0.58,0.66,2.5,0.072,6,37,0.9992,3.05,0.56,10,5,0.864654423
0,6.9,0.63,0.33,6.7,0.235,66,115,0.99787,3.22,0.56,9.5,5,0.6515202424
0,9.1,0.37,0.32,2.1,0.064,4,15,0.99576,3.3,0.8,11.2,6,0.6169558016
1,6.3,0.255,0.37,1.1,0.04,37,114,0.9905,3,0.39,10.9,6,0.3363836168
1,5.6,0.21,0.24,4.4,0.027,37,150,0.991,3.3,0.31,11.5,7,0.7599296651
1,7.3,0.24,0.41,13.6,0.05,41,178,0.9988,3.37,0.43,9.7,5,0.1290986284
0,6.9,0.49,0.1,2.3,0.074,12,30,0.9959,3.42,0.58,10.2,6,0.2987958624
1,6.6,0.39,0.28,9.2,0.036,10,92,0.99206,3.07,0.35,12.1,6,0.6838994597
1,7.3,0.2,0.44,1.4,0.045,21,98,0.9924,3.15,0.46,10,7,0.9899964903
1,7.3,0.32,0.35,1.4,0.05,8,163,0.99244,3.24,0.42,10.7,5,0.9669574818
0,11.1,0.31,0.49,2.7,0.094,16,47,0.9986,3.12,1.02,10.6,7,0.9173893183
0,11.6,0.32,0.55,2.8,0.081,35,67,1.0002,3.32,0.92,10.8,7,0.7262693804
0,7.3,0.48,0.32,2.1,0.062,31,54,0.99728,3.3,0.65,10,7,0.4667978014
0,8.7,0.46,0.31,2.5,0.126,24,64,0.99746,3.1,0.74,9.6,5,0.1997410371
1,6.8,0.26,0.32,7,0.041,38,118,0.9939,3.25,0.52,10.8,6,0.7604299458
1,7.5,0.25,0.47,4.1,0.041,95,163,0.99184,2.92,0.59,11.3,6,0.2477305299
1,6.4,0.37,0.49,13.3,0.045,53,243,0.9982,3.14,0.48,8.5,6,0.5365691155
1,6.1,0.2,0.17,1.6,0.048,46,129,0.991,3.3,0.43,11.4,6,0.2980434515
0,7.9,0.58,0.23,2.3,0.076,23,94,0.99686,3.21,0.58,9.5,6,0.1445055553
1,8.3,0.25,0.33,2.5,0.053,12,72,0.99404,2.89,0.48,9.5,5,0.6085572059
1,6.9,0.31,0.32,1.6,0.036,34,114,0.99068,3.19,0.45,11.4,7,0.1864580179
0,7.6,0.63,0.03,2,0.08,27,43,0.99578,3.44,0.64,10.9,6,0.997211528
1,6.3,0.305,0.22,16,0.061,26,141,0.99824,3.08,0.5,9.1,5,0.7098327358
1,6.5,0.32,0.48,8,0.026,18,88,0.99144,3.22,0.79,12.7,4,0.4317818591
1,7.6,0.23,0.34,1.6,0.043,24,129,0.99305,3.12,0.7,10.4,5,0.9078734405
1,7.5,0.26,0.26,18.35,0.084,33,139,1.0011,3.17,0.39,8.8,5,0.2346620806
0,8.9,0.75,0.14,2.5,0.086,9,30,0.99824,3.34,0.64,10.5,5,0.6415035366
1,6.7,0.47,0.34,8.9,0.043,31,172,0.9964,3.22,0.6,9.2,5,0.6522271708
1,7.8,0.4,0.49,7.8,0.06,34,162,0.9966,3.26,0.58,11.3,6,0.8280935925
1,6.1,0.37,0.2,7.6,0.031,49,170,0.99558,3.22,0.48,9.5,5,0.7884709989
1,6.4,0.26,0.42,9.7,0.044,30,140,0.9962,3.18,0.47,9.1,6,0.9793859846
1,7.3,0.33,0.4,6.85,0.038,32,138,0.992,3.03,0.3,11.9,7,0.3426957817
1,6.3,0.27,0.25,5.8,0.038,52,155,0.995,3.28,0.38,9.4,6,0.2941913048
1,6.4,0.38,0.24,7.2,0.047,41,151,0.99604,3.11,0.6,9.2,5,0.1597349157
1,8.5,0.23,0.34,1.3,0.035,54,110,0.99176,3.07,0.55,11,7,0.945116905
0,7.7,0.26,0.3,1.7,0.059,20,38,0.9949,3.29,0.47,10.8,6,0.6066594042
1,6.8,0.19,0.23,5.1,0.034,71,204,0.9942,3.23,0.69,10.1,5,0.9199216042
1,7.3,0.51,0.29,11.3,0.034,61,224,0.99683,3.14,0.56,9.5,6,0.9739399944
1,7.1,0.18,0.49,1.3,0.033,12,72,0.99072,3.05,0.53,11.3,7,0.6218627056
1,6.6,0.085,0.33,1.4,0.036,17,109,0.99306,3.27,0.61,9.5,6,0.0909076245
1,7.2,0.21,1,1.1,0.154,46,114,0.9931,2.95,0.43,9.2,6,0.3348996365
1,7.1,0.31,0.38,1.2,0.036,10,124,0.9924,3.14,0.44,9.9,6,0.9568035565
1,8.5,0.19,0.49,3.5,0.044,29,117,0.9938,3.14,0.51,10.1,6,0.9960283409
1,6.2,0.21,0.38,6.8,0.036,64,245,0.9951,3.06,0.36,9.3,6,0.9432970642
0,7.1,0.67,0,2.3,0.083,18,27,0.99768,3.44,0.54,9.4,5,0.6890498081
1,7.6,0.31,0.27,5.8,0.036,23,109,0.99399,3.34,0.54,11,6,0.0331541498
1,7.9,0.25,0.35,6.7,0.039,22,64,0.99362,2.93,0.49,10.7,5,0.7587580297
1,6,0.25,0.4,5.7,0.052,56,152,0.99398,3.16,0.88,10.5,6,0.3527620968
1,7.7,0.34,0.27,8.8,0.063,39,184,0.9969,3.09,0.63,9.2,6,0.9339854291
0,8.5,0.655,0.49,6.1,0.122,34,151,1.001,3.31,1.14,9.3,5,0.3165711449
1,6.7,0.26,0.26,4.1,0.073,36,202,0.9956,3.3,0.67,9.5,5,0.1644753662
1,6.7,0.19,0.39,1,0.032,14,71,0.98912,3.31,0.38,13,7,0.8040974126
1,5.9,0.24,0.12,1.4,0.035,60,247,0.99358,3.34,0.44,9.6,6,0.8409772245
0,12.1,0.4,0.52,2,0.092,15,54,1,3.03,0.66,10.2,5,0.9111324311
1,6.5,0.17,0.31,1.5,0.041,34,121,0.99092,3.06,0.46,10.5,6,0.9634402161
1,6.5,0.22,0.31,3.9,0.046,17,106,0.99098,3.15,0.31,11.5,5,0.7451346482
1,6.4,0.22,0.3,11.2,0.046,53,149,0.99479,3.21,0.34,10.8,5,0.5156311363
1,6,0.28,0.27,15.5,0.036,31,134,0.99408,3.19,0.44,13,7,0.5005602201
1,6.7,0.27,0.12,1.3,0.041,62,138,0.9921,3.21,0.42,10,6,0.6744238434
0,6.8,0.48,0.08,1.8,0.074,40,64,0.99529,3.12,0.49,9.6,5,0.506793357
1,7,0.13,0.3,5,0.056,31,122,0.9945,3.47,0.42,10.5,6,0.4662763251
0,6.1,0.715,0.1,2.6,0.053,13,27,0.99362,3.57,0.5,11.9,5,0.4168373765
0,6.5,0.9,0,1.6,0.052,9,17,0.99467,3.5,0.63,10.9,6,0.9871198873
1,6,0.52,0.33,7.7,0.046,24,119,0.99224,3.04,0.38,11,6,0.0866635973
1,7.1,0.28,0.26,2.8,0.039,50,118,0.9908,3.06,0.59,11.2,6,0.8562345775
1,6.4,0.24,0.49,5.8,0.053,25,120,0.9942,3.01,0.98,10.5,6,0.9527515995
0,7,0.69,0.07,2.5,0.091,15,21,0.99572,3.38,0.6,11.3,6,0.4473750598
1,6.5,0.25,0.32,9.9,0.045,41,128,0.99636,3.18,0.52,9.6,6,0.7341061204
1,6,0.31,0.38,4.8,0.04,41,101,0.98968,3.24,0.56,13.1,6,0.4121004043
1,7.9,0.28,0.49,7.7,0.045,48,195,0.9954,3.04,0.55,11,6,0.5769683756
1,6.8,0.3,0.29,6.2,0.025,29,95,0.99071,3.03,0.32,12.9,7,0.0022539189
1,6.4,0.21,0.3,5.6,0.044,43,160,0.9949,3.6,0.41,10.6,6,0.6131659322
1,5.2,0.16,0.34,0.8,0.029,26,77,0.99155,3.25,0.51,10.1,6,0.2579785578
1,7.6,0.27,0.52,3.2,0.043,28,152,0.99129,3.02,0.53,11.4,6,0.0382365955
1,6.7,0.31,0.34,6.8,0.059,51,215,0.99538,3.33,0.56,10.3,5,0.9861265491
1,6.1,0.28,0.24,19.95,0.074,32,174,0.99922,3.19,0.44,9.3,6,0.2118574949
1,7,0.32,0.29,4.9,0.036,41,150,0.99168,3.38,0.43,12.2,6,0.9970962412
1,7.5,0.27,0.79,11.95,0.04,51,159,0.99839,2.98,0.44,8.7,5,0.7167380361
1,6.7,0.21,0.42,9.1,0.049,31,150,0.9953,3.12,0.74,9.9,7,0.4258994742
1,5.2,0.3,0.34,1.5,0.038,18,96,0.98942,3.56,0.48,13,8,0.1043339495
0,10.7,0.4,0.37,1.9,0.081,17,29,0.99674,3.12,0.65,11.2,6,0.4807174122
1,7.3,0.31,0.25,6.65,0.032,30,138,0.99244,2.9,0.37,11.1,5,0.5374836384
1,6,0.31,0.24,3.3,0.041,25,143,0.9914,3.31,0.44,11.3,6,0.9252687788
1,7.7,0.32,0.48,2.3,0.04,28,114,0.9911,3.2,0.52,12.8,7,0.6374367166
1,7.6,0.28,0.17,1.6,0.046,28,117,0.99288,3.08,0.43,10,5,0.2007131537
0,10.9,0.37,0.58,4,0.071,17,65,0.99935,3.22,0.78,10.1,5,0.8442020724
1,7.8,0.26,0.27,1.9,0.051,52,195,0.9928,3.23,0.5,10.9,6,0.2614270332
1,8.8,0.19,0.3,5,0.028,34,120,0.99242,2.94,0.47,11.2,5,0.9826290912
0,6.8,0.61,0.04,1.5,0.057,5,10,0.99525,3.42,0.6,9.5,5,0.7872690393
0,7.2,0.49,0.24,2.2,0.07,5,36,0.996,3.33,0.48,9.4,5,0.0828476544
1,5.5,0.375,0.38,1.7,0.036,17,98,0.99142,3.29,0.39,10.5,6,0.2267447531
1,7.4,0.28,0.3,5.3,0.054,44,161,0.9941,3.12,0.48,10.3,6,0.4293745845
1,6.1,0.24,0.3,1.5,0.045,22,61,0.992,3.31,0.54,10.4,5,0.1840996409
1,6.9,0.25,0.3,4.1,0.054,23,116,0.994,2.99,0.38,9.4,6,0.5017216573
1,6.5,0.23,0.38,1.3,0.032,29,112,0.99298,3.29,0.54,9.7,5,0.3815735795
0,9.3,0.61,0.26,3.4,0.09,25,87,0.99975,3.24,0.62,9.7,5,0.5593204442
1,6.6,0.21,0.34,5.6,0.046,30,140,0.99299,3.22,0.38,11,5,0.4409522437
1,6.2,0.35,0.2,18.1,0.069,33,158,0.99908,3.15,0.5,8.8,6,0.8035780259
1,6.6,0.2,0.14,4.4,0.184,35,168,0.99396,2.93,0.45,9.4,6,0.6116485696
1,6.5,0.26,0.32,16.5,0.045,44,166,1,3.38,0.46,9.5,6,0.3851153944
0,7.8,0.59,0.18,2.3,0.076,17,54,0.9975,3.43,0.59,10,5,0.5311409496
1,6.1,0.33,0.32,7.8,0.052,52,183,0.99657,3.39,0.65,9.5,5,0.8472193913
1,6.7,0.2,0.42,14,0.038,83,160,0.9987,3.16,0.5,9.4,6,0.377120167
1,7.5,0.33,0.39,12.4,0.065,29,119,0.9974,3.16,0.39,9.4,5,0.654739019
1,7.4,0.25,0.28,7.25,0.028,14,78,0.99238,2.94,0.37,11.5,7,0.2526222272
0,9.8,0.44,0.47,2.5,0.063,9,28,0.9981,3.24,0.65,10.8,6,0.7815544852
1,5.3,0.3,0.16,4.2,0.029,37,100,0.9905,3.3,0.36,11.8,8,0.29416635
1,7.3,0.32,0.23,13.7,0.05,49,197,0.9985,3.2,0.46,8.7,5,0.6733136941
1,6.8,0.28,0.44,9.3,0.031,35,137,0.9946,3.16,0.36,10.4,6,0.7122936812
1,7.5,0.25,0.32,8.2,0.024,53,209,0.99563,3.12,0.46,10.8,6,0.7129393315
0,5.4,0.835,0.08,1.2,0.046,13,93,0.9924,3.57,0.85,13,7,0.5344024436
0,8.9,0.61,0.49,2,0.27,23,110,0.9972,3.12,1.02,9.3,5,0.3985575866
1,9,0.22,0.49,10.4,0.048,52,195,0.9987,3.31,0.44,10.2,6,0.1311282716
0,9,0.46,0.23,2.8,0.092,28,104,0.9983,3.1,0.56,9.2,5,0.3337919374
1,7,0.31,0.52,1.7,0.029,5,61,0.9918,3.07,0.43,10.4,5,0.0646345608
1,6.9,0.17,0.25,1.6,0.047,34,132,0.9914,3.16,0.48,11.4,5,0.8405762406
1,6.5,0.32,0.3,2.3,0.051,20,127,0.98964,3.13,0.52,12.8,6,0.7625437132
1,6.3,0.2,0.4,1.5,0.037,35,107,0.9917,3.46,0.5,11.4,6,0.1650072606
1,6,0.44,0.26,3.1,0.053,57,128,0.98982,3.22,0.39,12.7,6,0.5872545892
1,7.4,0.41,0.34,4.7,0.042,19,127,0.9953,3.25,0.42,10.4,5,0.968038657
1,8.5,0.23,0.4,9.9,0.036,24,88,0.9951,3.02,0.42,10.5,6,0.6172120064
1,6.2,0.66,0.48,1.2,0.029,29,75,0.9892,3.33,0.39,12.8,8,0.5169835226
1,6.1,0.35,0.07,1.4,0.069,22,108,0.9934,3.23,0.52,9.2,5,0.145949488
1,6.9,0.23,0.24,14.2,0.053,19,94,0.9982,3.17,0.5,9.6,5,0.9959781969
0,5.6,0.62,0.03,1.5,0.08,6,13,0.99498,3.66,0.62,10.1,4,0.3019891912
1,6.6,0.32,0.47,15.6,0.063,27,173,0.99872,3.18,0.56,9,5,0.1429468729
0,6.7,0.64,0.23,2.1,0.08,11,119,0.99538,3.36,0.7,10.9,5,0.2488947567
1,6.2,0.16,0.54,1.4,0.126,37,110,0.9932,3.23,0.37,8.9,6,0.8023564273
1,6.6,0.22,0.37,1.6,0.04,31,101,0.99009,3.15,0.66,12,5,0.94312165
0,7.7,0.6,0,2.6,0.055,7,13,0.99639,3.38,0.56,10.8,5,0.5146736645
0,10.7,0.67,0.22,2.7,0.107,17,34,1.0004,3.28,0.98,9.9,6,0.3886972645
0,6.8,0.59,0.06,6,0.06,11,18,0.9962,3.41,0.59,10.8,7,0.9941120883
1,6.4,0.18,0.48,4,0.186,64,150,0.9945,3.06,0.4,9.3,5,0.0545738884
1,6.6,0.27,0.29,5.3,0.045,57,189,0.9953,3.31,0.79,9.8,5,0.0910054736
1,6.3,0.25,0.23,14.9,0.039,47,142,0.99705,3.14,0.35,9.7,6,0.9092669017
0,6.7,0.75,0.01,2.4,0.078,17,32,0.9955,3.55,0.61,12.8,6,0.9430972592
1,7.3,0.28,0.54,12.9,0.049,62,152,0.9984,3.06,0.45,9.1,6,0.8468696661
1,5.7,0.245,0.33,1.1,0.049,28,150,0.9927,3.13,0.42,9.3,5,0.7955253713
1,8.2,0.27,0.43,1.6,0.035,31,128,0.9916,3.1,0.5,12.3,6,0.7481783023
1,7.6,0.2,0.31,1.4,0.047,41,142,0.9934,3.43,0.53,10.1,6,0.1449943974
1,6.4,0.32,0.5,10.7,0.047,57,206,0.9968,3.08,0.6,9.4,5,0.975597918
0,7.2,0.58,0.03,2.3,0.077,7,28,0.99568,3.35,0.52,10,5,0.796693678
1,6,0.1,0.24,1.1,0.041,15,65,0.9927,3.61,0.61,10.3,7,0.5142315582
1,6.9,0.42,0.2,15.4,0.043,57,201,0.99848,3.08,0.54,9.4,5,0.7224658378
1,6.6,0.3,0.25,8,0.036,21,124,0.99362,3.06,0.38,10.8,6,0.6998305637
0,7.8,0.46,0.26,1.9,0.088,23,53,0.9981,3.43,0.74,9.2,6,0.8264988905
1,7.6,0.17,0.27,4.6,0.05,23,98,0.99422,3.08,0.47,9.5,6,0.6742819941
1,5.8,0.29,0.33,3.7,0.029,30,88,0.98994,3.25,0.42,12.3,6,0.4053120045
1,6.8,0.35,0.53,10.1,0.053,37,151,0.9963,3.07,0.4,9.4,5,0.3566799401
1,5.7,0.385,0.04,12.6,0.034,22,115,0.9964,3.28,0.63,9.9,6,0.3774943203
1,7.3,0.36,0.34,14.8,0.057,46,173,0.99751,3.14,0.57,10.2,5,0.8683839985
1,6.5,0.36,0.32,1.1,0.031,13,66,0.9916,3.1,0.46,10.6,5,0.612987505
1,7.7,0.39,0.28,4.9,0.035,36,109,0.9918,3.19,0.58,12.2,7,0.328469963
1,6.6,0.38,0.36,9.2,0.061,42,214,0.9976,3.31,0.56,9.4,5,0.087569352
1,6.8,0.31,0.25,10.5,0.043,30,165,0.9972,3.36,0.55,10.55,6,0.0074989672
1,6.7,0.42,0.46,9.7,0.054,67,234,0.99848,3.23,0.5,9,5,0.9941571353
1,7.3,0.22,0.31,2.3,0.018,45,80,0.98936,3.06,0.34,12.9,7,0.588686079
1,7.4,0.16,0.49,1.2,0.055,18,150,0.9917,3.23,0.47,11.2,6,0.1475151137
1,7,0.45,0.34,19.8,0.04,12,67,0.9976,3.07,0.38,11,6,0.8561183608
1,7.2,0.2,0.28,1.6,0.028,13,168,0.99203,3.17,1.06,11.5,6,0.1975104222
1,5.7,0.27,0.16,9,0.053,32,111,0.99474,3.36,0.37,10.4,6,0.1290854018
1,6.9,0.26,0.31,7,0.039,37,175,0.99376,3.32,0.49,11.4,6,0.2125617627
1,6.9,0.615,0.42,12,0.067,24,131,0.99727,3.19,0.34,9.3,5,0.4676533532
1,6.2,0.27,0.18,1.5,0.028,20,111,0.99228,3.41,0.5,10,5,0.6329902187
0,8.4,1.035,0.15,6,0.073,11,54,0.999,3.37,0.49,9.9,5,0.4334782949
1,7.2,0.51,0.24,10,0.093,35,197,0.9981,3.41,0.47,9,5,0.0725261068
0,14,0.41,0.63,3.8,0.089,6,47,1.0014,3.01,0.81,10.8,6,0.7157741999
0,6.2,0.64,0.09,2.5,0.081,15,26,0.99538,3.57,0.63,12,5,0.5103483209
1,7.8,0.25,0.34,13.7,0.044,66,184,0.99976,3.22,0.75,8.9,5,0.0664524212
0,7.2,0.5,0.18,2.1,0.071,12,31,0.99761,3.52,0.72,9.6,6,0.5187763977
0,7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,5,0.96012366
1,6.3,0.41,0.3,3.2,0.03,49,164,0.9927,3.53,0.79,11.7,7,0.1021093784
0,8.2,0.59,0,2.5,0.093,19,58,1.0002,3.5,0.65,9.3,6,0.3326176435
1,7.5,0.22,0.33,6.7,0.036,45,138,0.9939,3.2,0.68,11.4,6,0.6313050366
1,5.8,0.19,0.33,4.2,0.038,49,133,0.99107,3.16,0.42,11.3,7,0.393464878
1,7,0.29,0.33,0.9,0.041,20,117,0.99048,3.21,0.5,11.4,5,0.422147661
1,6.7,0.41,0.24,5.4,0.035,33,115,0.9901,3.12,0.44,12.8933333333,7,0.1131896558
1,6.8,0.17,0.34,2,0.04,38,111,0.99,3.24,0.45,12.9,6,0.5496596622
1,8,0.25,0.13,17.2,0.036,49,219,0.9996,2.96,0.46,9.7,5,0.353169621
0,15.5,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1,5,0.4008889361
1,6.7,0.12,0.36,2.3,0.039,43,125,0.99229,3.07,0.67,10.1,7,0.2201196416
0,10,0.41,0.45,6.2,0.071,6,14,0.99702,3.21,0.49,11.8,7,0.1293094167
1,6,0.2,0.26,6.8,0.049,22,93,0.9928,3.15,0.42,11,6,0.6723471156
1,8,0.74,0.21,4,0.05,24,133,0.99418,3.06,0.38,9.7,5,0.8650039609
1,6.9,0.25,0.3,4.1,0.054,23,116,0.994,2.99,0.38,9.4,6,0.3362460798
1,5.4,0.23,0.36,1.5,0.03,74,121,0.98976,3.24,0.99,12.1,7,0.832312681
1,6.4,0.25,0.33,1.4,0.04,42,115,0.9906,3.19,0.48,11.3,7,0.6250891187
0,8.5,0.21,0.52,1.9,0.09,9,23,0.99648,3.36,0.67,10.4,5,0.7516210545
1,6.8,0.22,0.35,5.5,0.043,21,114,0.9938,3.3,0.53,10.7,7,0.0808457308
1,6.2,0.15,0.46,1.6,0.039,38,123,0.993,3.38,0.51,9.7,6,0.5708508852
0,9.9,0.27,0.49,5,0.082,9,17,0.99484,3.19,0.52,12.5,7,0.0412962381
0,9.6,0.56,0.31,2.8,0.089,15,46,0.9979,3.11,0.92,10,6,0.4462640602
0,7.2,0.695,0.13,2,0.076,12,20,0.99546,3.29,0.54,10.1,5,0.5867413643
1,6,0.39,0.13,1.2,0.042,60,172,0.99114,3.06,0.52,10.6,5,0.925679377
1,6.7,0.35,0.48,8.8,0.056,35,167,0.99628,3.04,0.47,9.4,5,0.1211852115
1,7.7,0.32,0.61,11.8,0.041,66,188,0.99794,3,0.54,9.3,5,0.2920750442
1,6,0.45,0.42,1.1,0.051,61,197,0.9932,3.02,0.4,9,5,0.5686731429
0,6.3,0.51,0.13,2.3,0.076,29,40,0.99574,3.42,0.75,11,6,0.264721879
1,6.8,0.24,0.37,7.45,0.043,59,188,0.99579,3.2,0.5,9.4,6,0.7142707279
0,9.5,0.735,0.1,2.1,0.079,6,31,0.9986,3.23,0.56,10.1,6,0.0183625759
1,5.6,0.18,0.27,1.7,0.03,31,103,0.98892,3.35,0.37,12.9,6,0.7228009272
0,8.2,1.33,0,1.7,0.081,3,12,0.9964,3.53,0.49,10.9,5,0.2074780599
1,8.1,0.29,0.49,7.1,0.042,22,124,0.9944,3.14,0.41,10.8,6,0.4880488573
1,7.3,0.26,0.31,1.6,0.04,39,173,0.9918,3.19,0.51,11.4,6,0.0026568577
0,8.2,0.51,0.24,2,0.079,16,86,0.99764,3.34,0.64,9.5,6,0.4674736455
0,10.1,0.65,0.37,5.1,0.11,11,65,1.0026,3.32,0.64,10.4,6,0.3063678066
1,6.8,0.22,0.37,1.7,0.036,38,195,0.9908,3.35,0.72,12.5,6,0.869287983
0,5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,6,0.2660866666
0,7.3,0.51,0.18,2.1,0.07,12,28,0.99768,3.52,0.73,9.5,6,0.8062228928
0,8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,5,0.774792484
1,5.9,0.26,0.21,12.5,0.034,36,152,0.9972,3.28,0.43,9.5,6,0.8714149913
1,6.9,0.25,0.33,1.2,0.035,35,158,0.99082,3.02,0.58,11.3,6,0.995781559
1,7.1,0.53,0.24,0.8,0.029,29,86,0.993,3.16,0.32,9.1,4,0.9338562435
0,8.6,0.645,0.25,2,0.083,8,28,0.99815,3.28,0.6,10,6,0.7429963313
1,7,0.21,0.42,5.3,0.037,36,123,0.99321,3.14,0.52,10.9,6,0.4347512498
0,8.9,0.48,0.24,2.85,0.094,35,106,0.9982,3.1,0.53,9.2,5,0.4115016419
0,7.1,0.35,0.29,2.5,0.096,20,53,0.9962,3.42,0.65,11,6,0.8043410168
1,7.4,0.24,0.26,1.6,0.058,53,150,0.9936,3.18,0.5,9.9,7,0.1523651488
1,7.5,0.42,0.19,6.9,0.041,62,150,0.99508,3.23,0.37,10,6,0.4062301822
0,5.6,0.915,0,2.1,0.041,17,78,0.99346,3.68,0.73,11.4,5,0.4416764658
0,7.5,0.57,0.02,2.6,0.077,11,35,0.99557,3.36,0.62,10.8,6,0.2023194798
1,8.2,0.37,0.36,1,0.034,17,93,0.9906,3.04,0.32,11.7,8,0.9511286931
1,7.4,0.16,0.3,1.4,0.064,34,166,0.99136,3.11,0.42,11.4333333333,6,0.7385297157
1,7.9,0.16,0.74,17.85,0.037,52,187,0.9998,2.99,0.41,9.3,5,0.3612008665
1,7.8,0.29,0.29,3.15,0.044,41,117,0.99153,3.24,0.35,11.5,5,0.9908659877
1,7.5,0.38,0.29,4.9,0.021,38,113,0.99026,3.08,0.48,13,7,0.3784390623
0,10.7,0.9,0.34,6.6,0.112,23,99,1.00289,3.22,0.68,9.3,5,0.6807525381
1,7.7,0.3,0.32,1.6,0.037,23,124,0.9919,2.93,0.33,11,6,0.1257587103
0,7.3,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9,6,0.3886630374
1,10.3,0.17,0.47,1.4,0.037,5,33,0.9939,2.89,0.28,9.6,3,0.8148430411
1,6.3,0.18,0.22,1.5,0.043,45,155,0.99238,3.19,0.48,10.2,5,0.3713032135
1,6.6,0.905,0.19,0.8,0.048,17,204,0.9934,3.34,0.56,10,5,0.7844446679
1,6.6,0.52,0.44,12.2,0.048,54,245,0.9975,3.26,0.54,9.3,6,0.0044709293
